1,Update harga dan Item Shopping List 2023,Harga item di SL mengalami perubahan setiap tahunnya,\N,0,5,23
2,Usulan definisi dan klasifikasi harga mobilisasi dalam RAB WO,Seringnya pengajuan biaya mobilisasi di WO,\N,0,5,23
3,Usulan PO Varcost ditagihkan monthly,Mempercepat proses penagihan,\N,0,5,23
4,Workshop ENOM Reg 5 Jateng DIY,Menanamkan sense of belonging terhadap site Telkomsel,\N,0,5,23
5,"Training series (RAN, Transport, Power)",Pemerataan knowledge dan skills tim TO,\N,0,5,7
6,Form checklist kelengkapan tools (Secara detail),Controlling berkala terkait dengan tools,\N,0,5,7
7,Standarisasi list kategori pekerjaan WO,Adanya perbedaan list item pekerjaan WO antara Regional di Area 3,\N,0,5,7
8,Sosialisasi mekanisme ticketing BPS lintas cluster (Dalam satu Regional),Service based mindset dan upaya penanganan saat terjadi MSI,\N,0,5,7
9,"Klarifikasi opex untuk site site yang novasi ke DMT (Tupai, Tulip, Topaz)",Sering terjadi dispute terkait dengan kewajiban dan tanggungjawab TP terhadap site novasi,\N,0,5,7
10,Meeting rutin ENOM NS dengan Mitra TA/TP,Sebagai upaya controlling tiket TOTI dan RCA TT Telkom,\N,0,5,7
11,Sosialisasi handover program racing alarm dari RTPO ke TI,Menanamkan budaya racing dan monitoring activity,\N,0,5,7
12,"Pembuatan template baku untuk reporting (BA Temuan, Activity weekly, Work Order, Improvement plan etc)",Perbedaan format report setiap TO,\N,0,5,7
13,Standarisasi RCA dan Enginner Comment,Validasi engineer comment dan RCA gamas,\N,0,5,7
14,Tracking monthly temuan hasil preventive maintenance site RPM(TP) dan FIOLA PM site (ENOM),Sebagai upaya controlling hasil RPM dan preventive FIOLA,\N,0,5,25
15,NS Responsibilities Ticket,Kategori tiket apa saja yang bisa dicreate oleh NS di FIOLA,\N,0,5,25
16,BPS Ticketing,Mekanisme saat terjadi MSI,\N,0,5,25
17,Validasi Excel BPS Monitoring,Validasi nilai Backup Time (RH),\N,0,5,2
18,Tutorial Learning Management,Dashboard/ Link Tutorial file/video,\N,0,5,2
19,eGBTS Program,Already RRU,\N,0,1,33
20,Feederless & Modernize RF,Still RFU,NEQ,62000000,1,14
21,Modernize UMPT,CPU Load > 70%,NEQ,\N,1,14
22,Project for Clearance Alarm VSWR Indoor Site Non TP,On going Cek,Opex,8000000,1,22
23,Stock Opname Antena,Quad Band 12 Port,NEQ,33500000,1,34
24,"Stock Opname Jumper (Besar\NBesar, Besar\NKecil, Kecil\NKecil)",Jumper DIN\NDIN,Capex,1000000,1,34
